City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
558,rawah,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
559,rzhev,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
560,svetlogorsk,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
561,tuatapere,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
562,bud,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
563,hyeres,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
564,coahuayana,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
565,ankara,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
566,luganville,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
567,tomatlan,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
568,alta floresta,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
569,mme,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
570,mocambique,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
571,turukhansk,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
572,viedma,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
573,edson,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
574,omsukchan,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
575,vanavara,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
576,kyra,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
577,pankrushikha,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
578,andenes,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
579,chadan,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
580,pilar,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
581,vagay,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
582,port macquarie,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
583,isa khel,32.6768,71.2812,15.83,34,65,1.07,PK,"Dec 05, 2022, Mon, 17:00"
